INFO:root:Model and LoRA loaded.
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:__main__:Eval Metrics — Hits@1: 0.4103, Hits@3: 0.5055, Hits@10: 0.5594, MRR: 0.4618
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:__main__:Eval Metrics — Hits@1: 0.4212, Hits@3: 0.5072, Hits@10: 0.5695, MRR: 0.4717
INFO:__main__:Eval Metrics — Hits@1: 0.4398, Hits@3: 0.5173, Hits@10: 0.5779, MRR: 0.4838
INFO:__main__:Eval Metrics — Hits@1: 0.4322, Hits@3: 0.5080, Hits@10: 0.5712, MRR: 0.4777
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5088, Hits@10: 0.5720, MRR: 0.4822
INFO:__main__:Eval Metrics — Hits@1: 0.4414, Hits@3: 0.5190, Hits@10: 0.5729, MRR: 0.4847
INFO:__main__:Eval Metrics — Hits@1: 0.4238, Hits@3: 0.5198, Hits@10: 0.5821, MRR: 0.4758
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5114, Hits@10: 0.5611, MRR: 0.4744
INFO:__main__:Eval Metrics — Hits@1: 0.4212, Hits@3: 0.4987, Hits@10: 0.5712, MRR: 0.4697
INFO:__main__:Eval Metrics — Hits@1: 0.4288, Hits@3: 0.5232, Hits@10: 0.5737, MRR: 0.4794
INFO:__main__:Eval Metrics — Hits@1: 0.4516, Hits@3: 0.5350, Hits@10: 0.5948, MRR: 0.4979
INFO:__main__:Eval Metrics — Hits@1: 0.4389, Hits@3: 0.5164, Hits@10: 0.5897, MRR: 0.4857
INFO:__main__:Eval Metrics — Hits@1: 0.4372, Hits@3: 0.5114, Hits@10: 0.5762, MRR: 0.4807
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5021, Hits@10: 0.5644, MRR: 0.4748
INFO:__main__:Eval Metrics — Hits@1: 0.4322, Hits@3: 0.5122, Hits@10: 0.5830, MRR: 0.4804
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5114, Hits@10: 0.5687, MRR: 0.4815
INFO:__main__:Eval Metrics — Hits@1: 0.4423, Hits@3: 0.5122, Hits@10: 0.5821, MRR: 0.4839
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5114, Hits@10: 0.5821, MRR: 0.4842
INFO:__main__:Eval Metrics — Hits@1: 0.4313, Hits@3: 0.5088, Hits@10: 0.5712, MRR: 0.4759
INFO:__main__:Eval Metrics — Hits@1: 0.4330, Hits@3: 0.5131, Hits@10: 0.5703, MRR: 0.4786
INFO:__main__:Eval Metrics — Hits@1: 0.4431, Hits@3: 0.5190, Hits@10: 0.5746, MRR: 0.4858
INFO:__main__:Eval Metrics — Hits@1: 0.4406, Hits@3: 0.5080, Hits@10: 0.5779, MRR: 0.4844
INFO:__main__:Eval Metrics — Hits@1: 0.4398, Hits@3: 0.5232, Hits@10: 0.5771, MRR: 0.4837
INFO:__main__:Eval Metrics — Hits@1: 0.4372, Hits@3: 0.5181, Hits@10: 0.5746, MRR: 0.4816
INFO:__main__:Eval Metrics — Hits@1: 0.4372, Hits@3: 0.5004, Hits@10: 0.5653, MRR: 0.4775
INFO:__main__:Eval Metrics — Hits@1: 0.4406, Hits@3: 0.5181, Hits@10: 0.5695, MRR: 0.4845
INFO:__main__:Eval Metrics — Hits@1: 0.4398, Hits@3: 0.5190, Hits@10: 0.5720, MRR: 0.4848
INFO:__main__:Eval Metrics — Hits@1: 0.4271, Hits@3: 0.5088, Hits@10: 0.5830, MRR: 0.4792
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5114, Hits@10: 0.5788, MRR: 0.4829
INFO:__main__:Eval Metrics — Hits@1: 0.4254, Hits@3: 0.5105, Hits@10: 0.5670, MRR: 0.4725
INFO:__main__:Eval Metrics — Hits@1: 0.4347, Hits@3: 0.5105, Hits@10: 0.5788, MRR: 0.4804
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5105, Hits@10: 0.5628, MRR: 0.4788
INFO:__main__:Eval Metrics — Hits@1: 0.4398, Hits@3: 0.5181, Hits@10: 0.5712, MRR: 0.4844
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5139, Hits@10: 0.5737, MRR: 0.4767
INFO:__main__:Eval Metrics — Hits@1: 0.4263, Hits@3: 0.5181, Hits@10: 0.5746, MRR: 0.4772
INFO:__main__:Eval Metrics — Hits@1: 0.4212, Hits@3: 0.5139, Hits@10: 0.5670, MRR: 0.4696
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5173, Hits@10: 0.5720, MRR: 0.4769
INFO:__main__:Eval Metrics — Hits@1: 0.4263, Hits@3: 0.5097, Hits@10: 0.5720, MRR: 0.4758
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5257, Hits@10: 0.5847, MRR: 0.4864
INFO:__main__:Eval Metrics — Hits@1: 0.4221, Hits@3: 0.5181, Hits@10: 0.5779, MRR: 0.4738
INFO:__main__:Eval Metrics — Hits@1: 0.4398, Hits@3: 0.5232, Hits@10: 0.5678, MRR: 0.4832
INFO:__main__:Eval Metrics — Hits@1: 0.4364, Hits@3: 0.5139, Hits@10: 0.5720, MRR: 0.4813
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5206, Hits@10: 0.5712, MRR: 0.4776
INFO:__main__:Eval Metrics — Hits@1: 0.4271, Hits@3: 0.5131, Hits@10: 0.5746, MRR: 0.4774
INFO:__main__:Eval Metrics — Hits@1: 0.4364, Hits@3: 0.5282, Hits@10: 0.5805, MRR: 0.4854
INFO:__main__:Eval Metrics — Hits@1: 0.4246, Hits@3: 0.5097, Hits@10: 0.5796, MRR: 0.4751
INFO:__main__:Eval Metrics — Hits@1: 0.4305, Hits@3: 0.5223, Hits@10: 0.5771, MRR: 0.4796
INFO:__main__:Eval Metrics — Hits@1: 0.4305, Hits@3: 0.5190, Hits@10: 0.5712, MRR: 0.4785
INFO:__main__:Eval Metrics — Hits@1: 0.4381, Hits@3: 0.5156, Hits@10: 0.5737, MRR: 0.4833
INFO:__main__:Eval Metrics — Hits@1: 0.4490, Hits@3: 0.5417, Hits@10: 0.5889, MRR: 0.4973
INFO:__main__:Eval Metrics — Hits@1: 0.4339, Hits@3: 0.5257, Hits@10: 0.5973, MRR: 0.4856
